id,経度,緯度,所在地コード,用途,連番,年次,前年所在地コード,前年用途,前年連番,市区町村名,住居表示,行政,地積,利用の現況,利用状況表示,建物構造,施設,形状区分,間口（比率）,奥行（比率）,階層（地上）,階層（地下）,前面道路区分,前面道路の方位区分,前面道路の幅員,前面道路の駅前区分,前面道路の舗装状況,側道区分,側道方位区分,交通施設との近接区分,周辺の土地の利用の現況,駅名,駅距離,用途区分,防火区分,都市計画区分,森林区分,公園区分,建蔽率,容積率,共通地点区分,選定年次ビット,Ｓ５８価格,Ｓ５９価格,Ｓ６０価格,Ｓ６１価格,Ｓ６２価格,Ｓ６３価格,Ｈ１価格,Ｈ２価格,Ｈ３価格,Ｈ４価格,Ｈ５価格,Ｈ６価格,Ｈ７価格,Ｈ８価格,Ｈ９価格,Ｈ１０価格,Ｈ１１価格,Ｈ１２価格,Ｈ１３価格,Ｈ１４価格,Ｈ１５価格,Ｈ１６価格,Ｈ１７価格,Ｈ１８価格,Ｈ１９価格,Ｈ２０価格,Ｈ２１価格,Ｈ２２価格,Ｈ２３価格,Ｈ２４価格,Ｈ２５価格,Ｈ２６価格,Ｈ２７価格,Ｈ２８価格,Ｈ２９価格,Ｈ３０価格,Ｈ３１価格,属性移動Ｓ５９,属性移動Ｓ６０,属性移動Ｓ６１,属性移動Ｓ６２,属性移動Ｓ６３,属性移動Ｈ１,属性移動Ｈ２,属性移動Ｈ３,属性移動Ｈ４,属性移動Ｈ５,属性移動Ｈ６,属性移動Ｈ７,属性移動Ｈ８,属性移動Ｈ９,属性移動Ｈ１０,属性移動Ｈ１１,属性移動Ｈ１２,属性移動Ｈ１３,属性移動Ｈ１４,属性移動Ｈ１５,属性移動Ｈ１６,属性移動Ｈ１７,属性移動Ｈ１８,属性移動Ｈ１９,属性移動Ｈ２０,属性移動Ｈ２１,属性移動Ｈ２２,属性移動Ｈ２３,属性移動Ｈ２４,属性移動Ｈ２５,属性移動Ｈ２６,属性移動Ｈ２７,属性移動Ｈ２８,属性移動Ｈ２９,属性移動Ｈ３０,属性移動Ｈ３１
1,500891.11600000004,123138.601,13364,0,1,2019,13364,0,1,神津島,東京都　神津島村９９５番,13364,224,10000000000000000,_,W2,101,_,10,12,2,0,村道,南,22,_,_,_,_,_,一般住宅のほか民宿、店舗等が混在する住宅地域,キャンドゥ前,460,_,_,非線引,_,_,70,200,False,0000000000011111111111111111111111111,0,0,0,0,0,0,0,0,0,0,0,7600,7600,7600,7600,7600,7600,7600,7500,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,7600,0,0,0,0,0,0,0,0,0,0,40000000000000,10000000000000,10000000000000,10000000000000,10000001000001,10000001000001,10000000000011,10000000000000,10000000000000,10000000000000,10000100000000,10000000000001,10000000000000,10000000000000,10000000000000,10000010000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000010000000
2,500894.32,123142.52900000001,13364,5,1,2019,13364,5,1,神津島,東京都　神津島村８４１番,13364,203,11000000000000000,_,RC2,101,_,15,10,2,0,村道,西,35,_,_,_,_,_,小規模小売店舗、民宿等の建ち並ぶ近隣商業地域,キャンドゥ前,550,_,_,非線引,_,_,70,200,False,0000000000001111111111111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,9500,9500,9500,9500,9500,9500,9400,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,9500,0,0,0,0,0,0,0,0,0,0,0,40000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000011,10000000000000,10000000000000,10000000000000,10000100000000,10000000000001,10010000000000,10000000000000,10000000000000,10000010000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000010000000
3,500912.888,123159.352,13364,0,2,2019,13364,0,2,神津島,東京都　神津島村２８４番,13364,239,10000000000000000,_,W2,101,_,12,10,2,0,村道,南東,40,_,_,_,_,_,一般住宅のほか社宅等も見られる住宅地域,神津島港,1300,_,_,非線引,_,国立公（普通）,70,200,False,0000000000000000000000000000001111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6500,6500,6500,6500,6500,6500,6500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000
4,501125.227,128626.391,13228,0,15,2019,13228,0,15,あきる野,東京都　あきる野市戸倉字西戸倉５２５番３,13228,309,10000000000000000,_,W2,101,_,15,10,2,0,市道,北西,47,_,_,_,_,_,中規模一般住宅、農家住宅等が見られる住宅地域,武蔵五日市,2800,_,_,調区,_,_,40,80,False,0000000000111111111111111111111111111,0,0,0,0,0,0,0,0,0,0,85000,82000,80500,79000,78200,76000,68000,60000,57000,51000,47500,43000,40500,39500,39500,41600,40500,39000,38500,38200,37900,37700,37500,37400,37300,37200,37000,0,0,0,0,0,0,0,0,0,40000000000000,10000000000000,10000000000000,21000000000000,10000000000000,10100000000000,10000000000000,10000000000011,10000000000000,10000000000000,10000000000000,10000000000000,10000000000011,10000000000000,10000000000000,10000000000000,10000000000000,10000100000000,10000000000000,10000000000000,20000000000000,20000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000010000000
5,501133.658,128900.214,13205,0,23,2019,13205,0,23,青梅,東京都　青梅市沢井１丁目４３４番９外,13205,135,10000000000000000,_,W2,101,_,10,15,2,0,私道,東,45,_,_,_,_,_,一般住宅のほかに農地等が混在する住宅地域,軍畑,600,1低専,_,市街化,_,国立公（普通）,40,80,False,0000000000011111111111111111111111111,0,0,0,0,0,0,0,0,0,0,0,161000,158000,149000,145000,141000,126000,106000,95000,81000,70000,62000,55300,53500,53500,55000,52800,49800,48600,47700,47100,46800,46500,46200,45800,45000,44000,0,0,0,0,0,0,0,0,0,0,40000000000000,10000000000000,10000000000000,10000001000000,10000000000000,10000000000000,10000100000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000001,10000000000000,10000000000000,10000000000100,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000
6,501162.473,128883.737,13205,0,24,2019,13205,0,24,青梅,東京都　青梅市柚木町２丁目４１６番２,13205,127,10000000000000000,_,W2,101,_,10,10,2,0,市道,北西,50,_,_,_,_,_,一般住宅のほかに空地等が見られる住宅地域,二俣尾,970,1低専,_,市街化,_,国立公（普通）,40,80,False,0000000000000000001111111111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103000,88000,76000,67500,60300,58000,58000,59000,56600,53200,52000,51100,50500,50100,49800,49500,49000,48200,47000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000000000000,10000000000000,10000000000000,10000000000000,10000000000001,10000000000000,10000000000000,10000000000100,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000
7,501201.864,128603.93400000001,13228,0,20,2019,13228,0,20,あきる野,東京都　あきる野市小和田字北ノ前１４０番８,13228,135,10000000000000000,_,W2,101,_,10,15,2,0,市道,北東,70,_,_,_,_,_,一般住宅が建ち並ぶ、秋川沿いの住宅地域,武蔵五日市,1500,_,_,調区,_,_,40,80,False,0000000000000000000000000000000001111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56500,56400,56200,56100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000000000000,10000000000000,10000000000000,10000000000000
8,501211.82200000004,128848.064,13205,0,20,2019,13205,0,20,青梅,東京都　青梅市梅郷５丁目９９１番４,13205,173,10000000000000000,_,W2,101,_,10,15,2,0,市道,西,46,_,_,_,_,_,一般住宅のほかに空地が見られる住宅地域,日向和田,750,1低専,_,市街化,_,国立公（普通）,40,80,False,0000000000111111111111111111111111111,0,0,0,0,0,0,0,0,0,0,192000,183000,180000,178000,176000,173000,155000,136000,118000,105000,91000,81500,75500,75000,76000,78000,74800,71000,69100,67900,66800,66600,66000,65100,64400,64200,63900,0,0,0,0,0,0,0,0,0,40000000000000,10000100000000,10000000000000,10000000000000,10000001000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000001,10000000000000,10000000000000,10000000000100,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000
9,501223.255,128618.81599999999,13228,0,17,2019,13228,0,17,あきる野,東京都　あきる野市留原字中村７６１番８,13228,119,10000000000000000,_,W2,101,_,10,12,2,0,市道,西,45,_,_,_,_,_,小規模一般住宅が建ち並ぶ住宅地域,武蔵五日市,700,1低専,_,市街化,_,_,40,80,False,0000000000111111111111111111111111111,0,0,0,0,0,0,0,0,0,0,175000,170000,169000,167000,165000,162000,150000,125000,118000,111000,94000,81600,77300,75800,76100,83500,80500,75000,74000,72900,72200,72000,72000,72000,72000,71900,71900,0,0,0,0,0,0,0,0,0,40000000000000,10000000000000,10000000000000,21000000000000,10000001000011,10000000000000,10000000000000,10000000000000,10000100000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000,10000000000000
10,501226.456,128817.894,13205,0,28,2019,13205,0,28,青梅,東京都　青梅市和田町２丁目１６２番４外,13205,165,10000000000000000,_,W2,101,台形,10,10,2,0,市道,南西,45,_,_,_,_,_,中規模一般住宅が多い多摩川渓谷近くの住宅地域,宮ノ平,1200,1低専,_,市街化,_,_,40,80,False,0000000000000000000000000000000001111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64700,64000,63600,62700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40000000000000,10000000000000,10000000000000,10000000000000
